,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,renovated,MHI
15,4.0,3.0,2950.0,5000.0,2.0,0.0,3.0,3,9,1980.0,970.0,1979,98126,47.5714,-122.375,2140.0,4000.0,0,101882.0
16,3.0,2.0,1890.0,14040.0,2.0,0.0,0.0,3,7,1890.0,0.0,1994,98019,47.7277,-121.962,1890.0,14018.0,0,154766.0
17,4.0,1.0,1600.0,4300.0,1.5,0.0,0.0,4,7,1600.0,0.0,1916,98103,47.6648,-122.34299999999999,1610.0,4300.0,0,115000.0
18,2.0,1.0,1200.0,9850.0,1.0,0.0,0.0,4,7,1200.0,0.0,1921,98002,47.3089,-122.21,1060.0,5095.0,0,68115.0
19,3.0,1.0,1250.0,9774.0,1.0,0.0,0.0,4,7,1250.0,0.0,1969,98003,47.3343,-122.306,1280.0,8850.0,0,52850.0
20,4.0,1.75,1620.0,4980.0,1.0,0.0,0.0,4,7,860.0,760.0,1947,98133,47.7025,-122.34100000000001,1400.0,4980.0,0,109919.0
21,3.0,2.75,3050.0,44867.0,1.0,0.0,4.0,3,9,2330.0,720.0,1968,98040,47.5316,-122.23299999999999,4110.0,20336.0,0,218393.0
22,5.0,2.5,2270.0,6300.0,2.0,0.0,0.0,3,8,2270.0,0.0,1995,98092,47.3266,-122.169,2240.0,7005.0,0,91484.0
23,2.0,1.5,1070.0,9643.0,1.0,0.0,0.0,3,7,1070.0,0.0,1985,98030,47.3533,-122.166,1220.0,8386.0,0,71781.0
24,3.0,2.25,2450.0,6500.0,2.0,0.0,0.0,4,8,2450.0,0.0,1985,98030,47.3739,-122.17200000000001,2200.0,6865.0,0,79142.0
25,3.0,2.0,1710.0,4697.0,1.5,0.0,0.0,5,6,1710.0,0.0,1941,98002,47.3048,-122.21799999999999,1030.0,4705.0,0,68115.0
26,3.0,1.75,2450.0,2691.0,2.0,0.0,0.0,3,8,1750.0,700.0,1915,98119,47.6386,-122.36,1760.0,3573.0,0,154135.0
27,3.0,1.0,1400.0,1581.0,1.5,0.0,0.0,5,8,1400.0,0.0,1909,98112,47.6221,-122.314,1860.0,3861.0,0,115370.0
28,3.0,1.75,1520.0,6380.0,1.0,0.0,0.0,3,7,790.0,730.0,1948,98115,47.695,-122.304,1520.0,6235.0,0,149125.0
29,4.0,2.5,2570.0,7173.0,2.0,0.0,0.0,3,8,2570.0,0.0,2005,98052,47.7073,-122.11,2630.0,6026.0,0,212961.0
30,3.0,2.5,2320.0,3980.0,2.0,0.0,0.0,3,8,2320.0,0.0,2003,98027,47.5391,-122.07,2580.0,3980.0,0,182870.0
31,2.0,1.5,1190.0,1265.0,3.0,0.0,0.0,3,7,1190.0,0.0,2005,98133,47.7274,-122.35700000000001,1390.0,1756.0,0,44810.0
32,4.0,1.75,2330.0,5000.0,1.5,0.0,0.0,4,7,1510.0,820.0,1929,98117,47.6823,-122.368,1460.0,5000.0,0,125043.0
33,3.0,1.0,1090.0,3000.0,1.5,0.0,0.0,4,8,1090.0,0.0,1929,98117,47.6889,-122.375,1570.0,5080.0,0,125043.0
34,4.0,2.75,2060.0,6659.0,1.0,0.0,0.0,3,7,1280.0,780.0,1981,98058,47.4276,-122.15700000000001,2020.0,8720.0,0,97763.0
35,3.0,2.5,2300.0,3060.0,1.5,0.0,0.0,3,8,1510.0,790.0,1930,98115,47.6827,-122.31,1590.0,3264.0,1,132596.0
36,4.0,1.0,1660.0,34848.0,1.0,0.0,0.0,1,5,930.0,730.0,1933,98052,47.6621,-122.132,2160.0,11467.0,0,145643.0
37,4.0,2.0,2360.0,6000.0,2.0,0.0,0.0,4,8,2360.0,0.0,1904,98107,47.6702,-122.36200000000001,1730.0,4700.0,0,127337.0
38,4.0,1.0,1220.0,8075.0,1.0,0.0,0.0,2,7,890.0,330.0,1969,98001,47.3341,-122.28200000000001,1290.0,7800.0,0,90343.0
39,4.0,2.5,2620.0,7553.0,2.0,0.0,0.0,3,8,2620.0,0.0,1996,98056,47.5301,-122.18,2620.0,11884.0,0,134342.0
40,4.0,2.5,2570.0,5520.0,2.0,0.0,0.0,3,9,2570.0,0.0,2000,98074,47.6145,-122.027,2470.0,5669.0,0,177284.0
41,4.0,2.25,4220.0,24186.0,1.0,0.0,0.0,3,8,2600.0,1620.0,1984,98166,47.445,-122.34700000000001,2410.0,30617.0,0,131806.0
42,5.0,2.75,3595.0,5639.0,2.0,0.0,0.0,3,9,3595.0,0.0,2014,98053,47.6848,-122.016,3625.0,5639.0,0,173940.0
43,3.0,1.0,1570.0,2280.0,2.0,0.0,0.0,3,7,1570.0,0.0,1922,98119,47.6413,-122.36399999999999,1580.0,2640.0,0,169131.0
44,3.0,1.0,1280.0,9656.0,1.0,0.0,0.0,4,6,920.0,360.0,1959,98058,47.4485,-122.175,1340.0,8808.0,0,61908.0
45,3.0,2.5,3160.0,13603.0,2.0,0.0,0.0,3,8,3160.0,0.0,2003,98019,47.7443,-121.977,3050.0,9232.0,0,150500.0
46,3.0,1.0,990.0,8528.0,1.0,0.0,0.0,3,6,990.0,0.0,1966,98023,47.3066,-122.37100000000001,1228.0,8840.0,0,83571.0
47,4.0,2.5,2290.0,13416.0,2.0,0.0,0.0,4,9,2290.0,0.0,1981,98007,47.6194,-122.15100000000001,2680.0,13685.0,0,106957.0
48,3.0,1.75,1250.0,5963.0,1.0,0.0,0.0,4,7,1250.0,0.0,1953,98115,47.6796,-122.301,970.0,5100.0,0,129938.0
49,3.0,2.5,2753.0,65005.0,1.0,1.0,2.0,5,9,2165.0,588.0,1953,98070,47.4041,-122.45100000000001,2680.0,72513.0,0,108967.0
50,3.0,1.0,1190.0,9199.0,1.0,0.0,0.0,3,7,1190.0,0.0,1955,98148,47.4258,-122.322,1190.0,9364.0,0,87866.0
51,5.0,2.5,3150.0,9134.0,1.0,0.0,0.0,4,8,1640.0,1510.0,1966,98056,47.4934,-122.189,1990.0,9133.0,0,53392.0
52,3.0,1.75,1410.0,4080.0,1.0,0.0,0.0,4,7,1000.0,410.0,1950,98117,47.6808,-122.384,1410.0,4080.0,0,130129.0
53,2.0,1.75,1980.0,8550.0,1.0,0.0,0.0,3,7,990.0,990.0,1981,98117,47.6989,-122.369,1480.0,6738.0,0,101848.0
54,5.0,2.25,2730.0,6000.0,1.5,0.0,0.0,3,8,2130.0,600.0,1927,98105,47.6571,-122.281,2730.0,6000.0,0,205371.0
55,4.0,2.5,2830.0,5000.0,2.0,0.0,0.0,3,9,2830.0,0.0,1995,98105,47.6597,-122.29,1950.0,5000.0,0,205371.0
56,4.0,2.5,2250.0,4495.0,2.0,0.0,0.0,3,7,2250.0,0.0,2008,98042,47.3663,-122.11399999999999,2250.0,4500.0,0,95133.0
57,3.0,2.5,2420.0,4750.0,2.0,0.0,0.0,3,8,2420.0,0.0,2003,98042,47.3663,-122.12200000000001,2690.0,4750.0,0,95133.0
58,5.0,3.25,3250.0,14342.0,2.0,0.0,4.0,4,8,3250.0,0.0,1968,98008,47.588,-122.116,2960.0,11044.0,0,125855.0
59,4.0,3.0,1850.0,9976.0,2.0,0.0,0.0,3,8,1850.0,0.0,1991,98059,47.5059,-122.149,2270.0,8542.0,0,100813.0
60,3.0,2.25,2150.0,21235.0,1.0,0.0,3.0,4,8,1590.0,560.0,1959,98166,47.4336,-122.339,2570.0,18900.0,0,131806.0
61,3.0,1.75,1260.0,8400.0,1.0,0.0,0.0,3,7,1260.0,0.0,1954,98148,47.4366,-122.335,1290.0,8750.0,0,73500.0
62,3.0,1.75,2519.0,8690.0,2.0,0.0,0.0,5,8,2519.0,0.0,1973,98166,47.4428,-122.344,2500.0,9500.0,0,131806.0
63,3.0,1.75,1540.0,1044.0,3.0,0.0,0.0,3,8,1540.0,0.0,2014,98115,47.6765,-122.32,1580.0,3090.0,0,121632.0
64,3.0,2.25,1660.0,6000.0,1.0,0.0,0.0,3,7,1110.0,550.0,1979,98122,47.6113,-122.29700000000001,1440.0,4080.0,0,119313.0
65,3.0,2.75,2770.0,3809.0,1.5,0.0,0.0,5,7,1770.0,1000.0,1925,98144,47.5747,-122.304,1440.0,4000.0,0,70491.0
66,4.0,2.5,2720.0,11049.0,2.0,0.0,0.0,3,10,2720.0,0.0,1989,98004,47.5815,-122.19200000000001,2750.0,11049.0,0,191774.0
67,4.0,2.5,2240.0,4648.0,2.0,0.0,0.0,3,7,2240.0,0.0,2005,98001,47.3378,-122.257,2221.0,4557.0,0,90343.0
68,3.0,1.0,1000.0,12070.0,1.0,0.0,0.0,4,7,1000.0,0.0,1968,98042,47.3621,-122.11,1010.0,12635.0,0,95133.0
69,5.0,2.25,3200.0,20158.0,1.0,0.0,0.0,3,8,1600.0,1600.0,1965,98004,47.6303,-122.215,3390.0,20158.0,0,230556.0
70,5.0,3.25,4770.0,50094.0,1.0,0.0,0.0,4,11,3070.0,1700.0,1973,98005,47.6525,-122.16,3530.0,38917.0,0,102347.0
71,3.0,2.0,1260.0,5612.0,1.0,0.0,0.0,4,7,1260.0,0.0,1972,98034,47.7362,-122.179,1640.0,4745.0,0,99718.0
72,4.0,2.0,2750.0,7807.0,1.5,0.0,0.0,5,7,2250.0,500.0,1916,98125,47.7168,-122.287,1510.0,7807.0,0,124107.0
73,4.0,2.5,2380.0,5000.0,2.0,0.0,0.0,3,8,2380.0,0.0,2005,98038,47.3608,-122.036,2420.0,5000.0,0,124185.0
74,3.0,1.75,1790.0,50529.0,1.0,0.0,0.0,5,7,1090.0,700.0,1965,98042,47.3511,-122.073,1940.0,50529.0,0,102350.0
75,4.0,4.0,3430.0,35102.0,2.0,0.0,0.0,4,10,2390.0,1040.0,1986,98075,47.5822,-121.98700000000001,3240.0,35020.0,0,180809.0
76,4.0,1.75,1760.0,7300.0,1.0,0.0,0.0,3,7,880.0,880.0,1956,98008,47.6034,-122.125,1680.0,7500.0,0,94773.0
77,3.0,1.0,1040.0,5060.0,1.0,0.0,0.0,3,7,1040.0,0.0,1941,98116,47.5636,-122.39399999999999,890.0,5060.0,0,143807.0
78,3.0,1.0,1410.0,5060.0,1.0,0.0,0.0,4,7,910.0,500.0,1956,98133,47.7073,-122.34,1130.0,5693.0,0,70781.0
79,4.0,2.5,3450.0,39683.0,2.0,0.0,0.0,3,10,3450.0,0.0,2002,98010,47.342,-122.025,3350.0,39750.0,0,106172.0
80,3.0,2.5,2350.0,5100.0,2.0,0.0,0.0,3,8,2350.0,0.0,2003,98038,47.3512,-122.008,2350.0,5363.0,0,109125.0
81,4.0,2.5,1900.0,5889.0,2.0,0.0,0.0,3,7,1900.0,0.0,1992,98038,47.349,-122.031,1870.0,6405.0,0,96682.0
82,2.0,1.0,2020.0,6720.0,1.0,0.0,0.0,3,7,1010.0,1010.0,1948,98118,47.5474,-122.291,1720.0,6720.0,0,54453.0
83,3.0,1.5,1680.0,8712.0,1.0,0.0,0.0,3,8,1680.0,0.0,1964,98059,47.4811,-122.149,1850.0,8797.0,0,111824.0
84,3.0,1.0,960.0,6634.0,1.0,0.0,0.0,3,6,960.0,0.0,1952,98125,47.7264,-122.31,1570.0,7203.0,0,74818.0
85,3.0,1.5,2140.0,3600.0,2.0,0.0,0.0,3,9,1900.0,240.0,1925,98119,47.6337,-122.365,2020.0,4800.0,0,147066.0
86,5.0,2.25,2660.0,8400.0,1.5,0.0,0.0,5,7,2660.0,0.0,1961,98092,47.2909,-122.189,1590.0,8165.0,0,68750.0
87,3.0,3.25,2770.0,6278.0,2.0,0.0,0.0,3,9,1980.0,790.0,2006,98056,47.5228,-122.199,1900.0,7349.0,0,87191.0
88,2.0,2.25,1610.0,2040.0,2.0,0.0,0.0,4,7,1610.0,0.0,1979,98056,47.518,-122.194,1950.0,2025.0,0,113525.0
89,2.0,1.75,1030.0,1066.0,2.0,0.0,0.0,3,7,765.0,265.0,2006,98136,47.5394,-122.387,1030.0,1106.0,0,145022.0
90,4.0,2.5,1980.0,7403.0,2.0,0.0,0.0,3,7,1980.0,0.0,1988,98023,47.2897,-122.37200000000001,1980.0,7510.0,0,67868.0
91,5.0,2.75,3520.0,6353.0,2.0,0.0,0.0,4,10,3520.0,0.0,2001,98199,47.6506,-122.391,2520.0,6250.0,0,103547.0
92,3.0,1.0,1200.0,10500.0,1.0,0.0,0.0,3,7,1200.0,0.0,1962,98023,47.321999999999996,-122.351,1350.0,10500.0,0,71563.0
93,3.0,1.5,1580.0,5000.0,1.0,0.0,0.0,3,8,1290.0,290.0,1939,98117,47.687,-122.38600000000001,1570.0,4500.0,0,130129.0
94,3.0,1.5,1580.0,5000.0,1.0,0.0,0.0,3,8,1290.0,290.0,1939,98117,47.687,-122.38600000000001,1570.0,4500.0,0,130129.0
95,4.0,2.5,3300.0,10250.0,1.0,0.0,0.0,3,7,2390.0,910.0,1946,98040,47.5873,-122.249,1950.0,6045.0,1,173333.0
96,3.0,1.75,1960.0,15681.0,1.0,0.0,0.0,3,7,1960.0,0.0,1967,98032,47.3576,-122.277,1750.0,15616.0,0,65062.0
97,4.0,1.5,1160.0,6400.0,1.0,0.0,0.0,4,7,1160.0,0.0,1975,98023,47.3036,-122.37799999999999,1160.0,6400.0,0,108824.0
98,3.0,1.75,1810.0,41800.0,1.0,0.0,0.0,5,7,1210.0,600.0,1980,98038,47.4109,-121.958,1650.0,135036.0,0,106667.0
99,3.0,2.5,2320.0,36847.0,2.0,0.0,2.0,3,9,2320.0,0.0,1992,98045,47.4838,-121.714,2550.0,35065.0,0,110500.0
100,3.0,2.5,2070.0,13241.0,1.5,0.0,0.0,5,9,1270.0,800.0,1910,98102,47.6415,-122.315,2200.0,4500.0,0,158625.0
101,3.0,2.0,1980.0,3478.0,1.5,0.0,0.0,4,7,1440.0,540.0,1929,98117,47.6775,-122.37200000000001,1610.0,3478.0,0,153942.0
102,3.0,2.25,2190.0,107593.0,2.0,0.0,0.0,4,8,2190.0,0.0,1983,98077,47.7731,-122.08,2570.0,47777.0,0,144946.0
103,3.0,2.5,2920.0,8113.0,2.0,0.0,0.0,3,8,2920.0,0.0,1950,98004,47.5814,-122.196,2370.0,8113.0,1,191774.0
104,3.0,1.0,1210.0,33919.0,1.0,0.0,0.0,3,7,1210.0,0.0,1954,98058,47.4375,-122.184,1640.0,14910.0,0,97000.0
105,3.0,2.5,2340.0,10005.0,1.0,0.0,0.0,4,8,1460.0,880.0,1978,98058,47.4431,-122.133,2250.0,8162.0,0,78015.0
106,3.0,1.0,1670.0,4005.0,1.5,0.0,0.0,4,7,1170.0,500.0,1939,98117,47.6878,-122.38,1240.0,4005.0,0,125043.0
107,2.0,1.75,1240.0,2493.0,1.0,0.0,0.0,4,8,1240.0,0.0,1985,98198,47.3813,-122.322,1270.0,4966.0,0,89342.0
108,4.0,2.5,3140.0,28037.0,2.0,0.0,0.0,4,10,3140.0,0.0,1991,98077,47.7304,-122.08200000000001,2990.0,35001.0,0,210327.0
109,5.0,1.75,2030.0,12342.0,2.0,0.0,0.0,4,7,2030.0,0.0,1942,98052,47.6417,-122.109,2500.0,9433.0,0,169250.0
110,4.0,2.5,2310.0,9624.0,2.0,0.0,0.0,3,8,2310.0,0.0,1984,98027,47.5386,-122.053,1940.0,9636.0,0,76359.0
111,3.0,1.75,1260.0,3328.0,1.0,0.0,0.0,5,6,700.0,560.0,1905,98103,47.6823,-122.34899999999999,1380.0,3536.0,0,153980.0
112,3.0,1.75,1540.0,12600.0,1.0,0.0,0.0,4,7,1160.0,0.0,1980,98038,47.3624,-122.031,1540.0,11656.0,0,124185.0
113,3.0,1.75,2080.0,5969.0,1.0,0.0,2.0,3,7,1080.0,1000.0,1971,98108,47.5474,-122.295,2090.0,5500.0,0,54453.0
114,4.0,2.5,3230.0,16171.0,2.0,0.0,0.0,3,9,2520.0,710.0,2001,98001,47.3183,-122.25299999999999,2640.0,8517.0,0,88125.0
115,3.0,3.5,4380.0,6350.0,2.0,0.0,0.0,3,8,2780.0,0.0,1900,98117,47.6981,-122.368,1830.0,6350.0,0,104083.0
116,3.0,3.5,1590.0,1102.0,3.0,0.0,0.0,3,8,1590.0,0.0,2010,98103,47.6824,-122.34700000000001,1620.0,3166.0,0,153980.0
117,2.0,1.0,880.0,6780.0,1.0,0.0,0.0,4,6,880.0,0.0,1945,98178,47.5009,-122.24799999999999,1190.0,6780.0,0,101333.0
118,4.0,2.0,1570.0,9600.0,1.0,0.0,0.0,3,6,1570.0,0.0,1950,98168,47.4965,-122.303,1880.0,9000.0,0,49167.0
119,4.0,1.0,1610.0,2982.0,1.5,0.0,0.0,4,7,1610.0,0.0,1925,98144,47.586999999999996,-122.294,1610.0,4040.0,0,141360.0
120,3.0,2.5,2400.0,6474.0,1.0,0.0,2.0,3,8,1560.0,840.0,1964,98177,47.7728,-122.38600000000001,2340.0,10856.0,0,132639.0
121,3.0,2.0,1450.0,9132.0,1.0,0.0,0.0,3,7,1450.0,0.0,1987,98034,47.7288,-122.226,1580.0,9104.0,0,112727.0
122,2.0,1.0,770.0,6000.0,1.0,0.0,0.0,3,6,770.0,0.0,1953,98117,47.6999,-122.36399999999999,1710.0,6000.0,0,104083.0
123,4.0,1.75,2100.0,4400.0,1.5,0.0,0.0,5,7,1720.0,380.0,1924,98118,47.5299,-122.266,1850.0,4400.0,0,50294.0
124,3.0,2.25,2910.0,10204.0,2.0,0.0,0.0,3,9,2910.0,0.0,1990,98052,47.6897,-122.098,2700.0,13992.0,0,115170.0
125,4.0,2.75,2750.0,17789.0,1.5,0.0,0.0,3,8,1980.0,770.0,1914,98004,47.6141,-122.212,3060.0,11275.0,1,175395.0
126,3.0,2.25,2100.0,8201.0,1.0,0.0,2.0,3,8,1620.0,480.0,1967,98178,47.5091,-122.244,2660.0,8712.0,0,85360.0
127,4.0,2.25,2160.0,8811.0,1.0,0.0,0.0,3,8,1360.0,800.0,1978,98023,47.3129,-122.39,2090.0,8400.0,0,108824.0
128,5.0,3.5,2320.0,4960.0,2.0,0.0,0.0,5,7,1720.0,600.0,1926,98103,47.6763,-122.352,1700.0,4960.0,0,138750.0
129,4.0,2.5,2070.0,4310.0,2.0,0.0,0.0,3,7,2070.0,0.0,2004,98065,47.5319,-121.85,1970.0,3748.0,0,153611.0
130,3.0,1.75,1060.0,7875.0,1.0,0.0,0.0,4,7,1060.0,0.0,1986,98092,47.2761,-122.152,1420.0,7680.0,0,94917.0
131,4.0,2.25,2010.0,9603.0,1.0,0.0,0.0,3,8,1440.0,570.0,1986,98027,47.5343,-122.054,2060.0,9793.0,0,76359.0
132,3.0,3.5,3950.0,111078.0,1.5,0.0,0.0,3,9,2460.0,1490.0,1989,98052,47.696999999999996,-122.072,2480.0,88500.0,0,113807.0
133,3.0,2.5,2010.0,2287.0,2.0,0.0,0.0,3,8,1390.0,620.0,2014,98029,47.5517,-121.99799999999999,1690.0,1662.0,0,139094.0
134,4.0,3.5,2140.0,2278.0,3.0,0.0,0.0,3,9,2140.0,0.0,2005,98107,47.6734,-122.38,1540.0,2285.0,0,153942.0
135,3.0,1.75,1320.0,17390.0,1.0,0.0,0.0,4,7,1320.0,0.0,1956,98003,47.3257,-122.296,1550.0,19265.0,0,47195.0
136,4.0,1.75,2020.0,7840.0,1.0,0.0,0.0,3,7,1010.0,1010.0,1968,98003,47.3309,-122.29899999999999,1750.0,8140.0,0,52850.0
137,4.0,2.25,2590.0,10002.0,1.0,0.0,0.0,4,8,1340.0,1250.0,1968,98028,47.7689,-122.266,1550.0,10436.0,0,124125.0
138,2.0,1.0,1190.0,4440.0,1.0,0.0,0.0,3,6,1190.0,0.0,1981,98125,47.7135,-122.287,1060.0,5715.0,0,124107.0
139,3.0,2.25,1170.0,1249.0,3.0,0.0,0.0,3,8,1170.0,0.0,2014,98107,47.6722,-122.381,1350.0,1310.0,0,117243.0
140,2.0,1.0,1110.0,3200.0,1.0,0.0,0.0,3,7,1110.0,0.0,1925,98119,47.6338,-122.35799999999999,1170.0,3600.0,0,154135.0
141,5.0,2.5,2820.0,9375.0,1.0,0.0,0.0,4,8,1550.0,1270.0,1968,98006,47.5707,-122.12799999999999,2820.0,9375.0,0,160625.0
142,3.0,1.0,1610.0,8579.0,1.0,0.0,0.0,4,7,1010.0,600.0,1962,98058,47.4563,-122.171,1610.0,8579.0,0,86818.0
143,3.0,1.0,1060.0,8097.0,1.0,0.0,0.0,4,7,940.0,120.0,1923,98133,47.7144,-122.351,1560.0,7940.0,0,92266.0
144,4.0,2.25,2030.0,8517.0,1.0,0.0,0.0,4,8,1380.0,650.0,1961,98006,47.5495,-122.17399999999999,2230.0,8824.0,0,136500.0
145,4.0,2.5,3670.0,315374.0,2.0,0.0,0.0,4,9,3670.0,0.0,1994,98077,47.7421,-122.02600000000001,2840.0,87991.0,0,148281.0
146,4.0,1.0,2550.0,4000.0,2.0,0.0,0.0,3,8,2370.0,180.0,1905,98109,47.6354,-122.353,2200.0,4000.0,0,154135.0
147,2.0,2.5,2420.0,60984.0,2.0,0.0,0.0,3,7,2420.0,0.0,2007,98027,47.5262,-121.943,1940.0,193842.0,0,125577.0
148,5.0,2.0,2260.0,12500.0,1.0,0.0,0.0,4,8,1130.0,1130.0,1960,98032,47.3887,-122.286,1360.0,18000.0,0,91170.0
149,3.0,1.0,1430.0,3455.0,1.0,0.0,0.0,3,7,980.0,450.0,1947,98103,47.6873,-122.336,1450.0,4599.0,0,143036.0
150,3.0,2.0,1360.0,3090.0,2.0,0.0,0.0,3,8,1360.0,0.0,1990,98103,47.6838,-122.353,1500.0,3090.0,0,153980.0
151,3.0,1.0,1110.0,5000.0,1.5,0.0,0.0,3,7,1110.0,0.0,1947,98107,47.655,-122.359,1420.0,5000.0,0,129295.0
152,3.0,1.0,1250.0,8200.0,1.0,0.0,0.0,4,7,1250.0,0.0,1954,98003,47.3255,-122.304,1680.0,8633.0,0,47195.0
153,4.0,3.25,5180.0,19850.0,2.0,0.0,3.0,3,12,3540.0,1640.0,2006,98006,47.562,-122.162,3160.0,9750.0,0,141350.0
154,1.0,1.0,700.0,5100.0,1.0,0.0,0.0,3,7,700.0,0.0,1942,98115,47.678999999999995,-122.3,1010.0,5100.0,0,153000.0
155,3.0,1.0,1180.0,7669.0,1.0,0.0,0.0,4,7,1180.0,0.0,1967,98058,47.4479,-122.176,1190.0,7669.0,0,61908.0
156,5.0,3.5,3960.0,25245.0,2.0,0.0,0.0,3,9,2500.0,1460.0,1996,98056,47.525,-122.17200000000001,2640.0,13675.0,0,136500.0
157,4.0,2.75,2640.0,7500.0,1.0,0.0,0.0,3,8,1620.0,1020.0,1967,98023,47.3135,-122.369,1980.0,7875.0,0,83571.0
158,3.0,2.0,1270.0,7198.0,1.5,0.0,0.0,3,7,1270.0,0.0,1916,98022,47.2086,-121.99600000000001,1160.0,7198.0,1,59191.0
159,4.0,1.75,1760.0,11180.0,1.0,0.0,0.0,4,8,1760.0,0.0,1968,98059,47.4715,-122.118,1730.0,11180.0,0,109301.0
160,5.0,2.25,2060.0,8632.0,1.0,0.0,0.0,3,7,1030.0,1030.0,1962,98146,47.4877,-122.335,1010.0,11680.0,0,65735.0
161,3.0,1.75,1780.0,9660.0,1.0,0.0,0.0,3,7,1780.0,0.0,1962,98034,47.7171,-122.193,1200.0,9660.0,0,108092.0
162,3.0,2.5,3400.0,16603.0,2.0,0.0,0.0,3,10,3400.0,0.0,2000,98075,47.6012,-122.023,3400.0,12601.0,0,177284.0
163,3.0,2.75,1910.0,7280.0,1.0,0.0,0.0,3,7,1160.0,750.0,1979,98034,47.7319,-122.22399999999999,1710.0,8152.0,0,112727.0
164,3.0,2.0,2020.0,38332.0,1.0,0.0,0.0,4,7,1010.0,1010.0,1975,98027,47.4582,-122.023,2110.0,36590.0,0,99216.0
165,3.0,1.75,1580.0,7000.0,1.0,0.0,0.0,3,7,1180.0,400.0,1976,98034,47.7209,-122.16799999999999,1640.0,7500.0,0,106125.0
166,2.0,1.75,1340.0,7250.0,1.0,0.0,0.0,5,5,700.0,640.0,1949,98198,47.408,-122.32700000000001,1830.0,9750.0,0,83393.0
167,4.0,2.5,2680.0,4499.0,2.0,0.0,0.0,3,9,2680.0,0.0,1999,98006,47.565,-122.125,2920.0,4500.0,0,160625.0
168,3.0,2.5,2680.0,9750.0,1.0,0.0,0.0,4,8,1610.0,1070.0,1979,98034,47.7028,-122.23100000000001,2480.0,8750.0,0,152566.0
169,3.0,2.0,1370.0,8336.0,1.0,0.0,0.0,5,7,1370.0,0.0,1964,98133,47.7458,-122.331,1770.0,7288.0,0,93370.0
170,3.0,1.75,1560.0,21000.0,1.0,0.0,0.0,3,7,1560.0,0.0,1954,98166,47.4776,-122.337,1070.0,7920.0,0,65735.0
171,3.0,1.75,2160.0,7140.0,1.0,0.0,0.0,4,7,1670.0,490.0,1978,98023,47.3026,-122.374,1930.0,7350.0,0,83571.0
172,3.0,1.5,1340.0,7912.0,1.5,0.0,0.0,3,7,1340.0,0.0,1955,98133,47.7658,-122.339,1480.0,7940.0,0,90028.0
173,4.0,2.5,3880.0,35003.0,2.0,0.0,0.0,3,10,2570.0,1310.0,1984,98033,47.6477,-122.182,3740.0,35230.0,0,129306.0
